ThreadPool initialized
Core initialized : 0
Core initialized : 1
Core initialized : 2
Core initialized : 3
System initialized
EventQueue initialized
Sim initialized
Metric initialized

Simulation starting...

|-----------------------------------------------------|
|simTime   |eventType           |requestId |coreId    |
|52        |PREEMPTION          |93        |0         |
|52        |CONTEXT_SWITCH      |89        |0         |
|62        |PREEMPTION          |86        |3         |
|62        |PREEMPTION          |88        |1         |
|62        |PREEMPTION          |89        |0         |
|62        |CONTEXT_SWITCH      |82        |3         |
|62        |CONTEXT_SWITCH      |84        |1         |
|62        |CONTEXT_SWITCH      |85        |0         |
|62        |PREEMPTION          |87        |2         |
|62        |CONTEXT_SWITCH      |83        |2         |
|72        |PREEMPTION          |85        |0         |
|72        |PREEMPTION          |84        |1         |
|72        |PREEMPTION          |83        |2         |
|72        |CONTEXT_SWITCH      |81        |0         |
|72        |CONTEXT_SWITCH      |80        |1         |
|72        |CONTEXT_SWITCH      |79        |2         |
|72        |PREEMPTION          |82        |3         |
|72        |CONTEXT_SWITCH      |78        |3         |
|82        |PREEMPTION          |79        |2         |
|82        |PREEMPTION          |80        |1         |
|82        |PREEMPTION          |78        |3         |
|82        |CONTEXT_SWITCH      |75        |2         |
|82        |CONTEXT_SWITCH      |76        |1         |
|82        |CONTEXT_SWITCH      |74        |3         |
|82        |PREEMPTION          |81        |0         |
|82        |CONTEXT_SWITCH      |77        |0         |
|92        |PREEMPTION          |74        |3         |
|92        |PREEMPTION          |76        |1         |
|92        |PREEMPTION          |77        |0         |
|92        |CONTEXT_SWITCH      |70        |3         |
|92        |CONTEXT_SWITCH      |72        |1         |
|92        |CONTEXT_SWITCH      |73        |0         |
|92        |PREEMPTION          |75        |2         |
|92        |CONTEXT_SWITCH      |71        |2         |
|102       |PREEMPTION          |73        |0         |
|102       |PREEMPTION          |72        |1         |
|102       |PREEMPTION          |71        |2         |
|102       |CONTEXT_SWITCH      |69        |0         |
|102       |CONTEXT_SWITCH      |68        |1         |
|102       |CONTEXT_SWITCH      |67        |2         |
|102       |PREEMPTION          |70        |3         |
|102       |CONTEXT_SWITCH      |66        |3         |
|112       |PREEMPTION          |67        |2         |
|112       |PREEMPTION          |68        |1         |
|112       |PREEMPTION          |66        |3         |
|112       |CONTEXT_SWITCH      |63        |2         |
|112       |CONTEXT_SWITCH      |64        |1         |
|112       |CONTEXT_SWITCH      |13        |3         |
|112       |PREEMPTION          |69        |0         |
|112       |CONTEXT_SWITCH      |65        |0         |
|122       |PREEMPTION          |13        |3         |
|122       |PREEMPTION          |64        |1         |
|122       |PREEMPTION          |65        |0         |
|122       |CONTEXT_SWITCH      |14        |3         |
|122       |CONTEXT_SWITCH      |58        |1         |
|122       |CONTEXT_SWITCH      |28        |0         |
|122       |PREEMPTION          |63        |2         |
|122       |CONTEXT_SWITCH      |6         |2         |
|132       |PREEMPTION          |28        |0         |
|132       |PREEMPTION          |58        |1         |
|132       |PREEMPTION          |6         |2         |
|132       |CONTEXT_SWITCH      |0         |0         |
|132       |CONTEXT_SWITCH      |2         |1         |
|132       |CONTEXT_SWITCH      |99        |2         |
|132       |PREEMPTION          |14        |3         |
|132       |CONTEXT_SWITCH      |98        |3         |
|142       |PREEMPTION          |99        |2         |
|142       |PREEMPTION          |2         |1         |
|142       |PREEMPTION          |98        |3         |
|142       |CONTEXT_SWITCH      |61        |2         |
|142       |CONTEXT_SWITCH      |62        |1         |
|142       |CONTEXT_SWITCH      |29        |3         |
|142       |PREEMPTION          |0         |0         |
|142       |CONTEXT_SWITCH      |30        |0         |
|152       |PREEMPTION          |29        |3         |
|152       |PREEMPTION          |62        |1         |
|152       |PREEMPTION          |30        |0         |
|152       |CONTEXT_SWITCH      |94        |3         |
|152       |CONTEXT_SWITCH      |96        |1         |
|152       |CONTEXT_SWITCH      |97        |0         |
|152       |PREEMPTION          |61        |2         |
|152       |CONTEXT_SWITCH      |95        |2         |
|162       |PREEMPTION          |97        |0         |
|162       |PREEMPTION          |96        |1         |
|162       |PREEMPTION          |95        |2         |
|162       |CONTEXT_SWITCH      |60        |0         |
|162       |CONTEXT_SWITCH      |59        |1         |
|162       |CONTEXT_SWITCH      |91        |2         |
|162       |PREEMPTION          |94        |3         |
|162       |CONTEXT_SWITCH      |90        |3         |
|172       |PREEMPTION          |91        |2         |
|172       |PREEMPTION          |59        |1         |
|172       |PREEMPTION          |90        |3         |
|172       |CONTEXT_SWITCH      |87        |2         |
|172       |CONTEXT_SWITCH      |92        |1         |
|172       |CONTEXT_SWITCH      |86        |3         |
|172       |PREEMPTION          |60        |0         |
|172       |CONTEXT_SWITCH      |93        |0         |
|182       |PREEMPTION          |86        |3         |
|182       |PREEMPTION          |92        |1         |
|182       |PREEMPTION          |93        |0         |
|182       |CONTEXT_SWITCH      |82        |3         |
|182       |CONTEXT_SWITCH      |88        |1         |
|182       |CONTEXT_SWITCH      |89        |0         |
|182       |PREEMPTION          |87        |2         |
|182       |CONTEXT_SWITCH      |83        |2         |
|192       |PREEMPTION          |89        |0         |
|192       |PREEMPTION          |88        |1         |
|192       |PREEMPTION          |83        |2         |
|192       |CONTEXT_SWITCH      |85        |0         |
|192       |CONTEXT_SWITCH      |84        |1         |
|192       |CONTEXT_SWITCH      |79        |2         |
|192       |PREEMPTION          |82        |3         |
|192       |CONTEXT_SWITCH      |78        |3         |
|202       |PREEMPTION          |79        |2         |
|202       |PREEMPTION          |84        |1         |
|202       |PREEMPTION          |78        |3         |
|202       |CONTEXT_SWITCH      |75        |2         |
|202       |CONTEXT_SWITCH      |80        |1         |
|202       |CONTEXT_SWITCH      |74        |3         |
|202       |PREEMPTION          |85        |0         |
|202       |CONTEXT_SWITCH      |81        |0         |
|212       |PREEMPTION          |74        |3         |
|212       |PREEMPTION          |80        |1         |
|212       |PREEMPTION          |81        |0         |
|212       |CONTEXT_SWITCH      |70        |3         |
|212       |CONTEXT_SWITCH      |76        |1         |
|212       |CONTEXT_SWITCH      |77        |0         |
|212       |PREEMPTION          |75        |2         |
|212       |CONTEXT_SWITCH      |71        |2         |
|222       |PREEMPTION          |77        |0         |
|222       |PREEMPTION          |76        |1         |
|222       |PREEMPTION          |71        |2         |
|222       |CONTEXT_SWITCH      |73        |0         |
|222       |CONTEXT_SWITCH      |72        |1         |
|222       |CONTEXT_SWITCH      |67        |2         |
|222       |PREEMPTION          |70        |3         |
|222       |CONTEXT_SWITCH      |66        |3         |
|232       |PREEMPTION          |67        |2         |
|232       |PREEMPTION          |72        |1         |
|232       |PREEMPTION          |66        |3         |
|232       |CONTEXT_SWITCH      |63        |2         |
|232       |CONTEXT_SWITCH      |68        |1         |
|232       |CONTEXT_SWITCH      |13        |3         |
|232       |PREEMPTION          |73        |0         |
|232       |CONTEXT_SWITCH      |69        |0         |
|242       |PREEMPTION          |13        |3         |
|242       |PREEMPTION          |68        |1         |
|242       |PREEMPTION          |69        |0         |
|242       |CONTEXT_SWITCH      |14        |3         |
|242       |CONTEXT_SWITCH      |64        |1         |
|242       |CONTEXT_SWITCH      |65        |0         |
|242       |PREEMPTION          |63        |2         |
|242       |CONTEXT_SWITCH      |6         |2         |
|247       |DEPARTURE           |14        |3         |
|247       |DEPARTURE           |6         |2         |
|247       |CONTEXT_SWITCH      |98        |3         |
|247       |CONTEXT_SWITCH      |99        |2         |
|248       |ARRIVAL             |6         |-1        |
|248       |ARRIVAL             |14        |-1        |
|252       |DEPARTURE           |98        |3         |
|252       |DEPARTURE           |99        |2         |
|252       |PREEMPTION          |64        |1         |
|252       |PREEMPTION          |65        |0         |
|252       |CONTEXT_SWITCH      |58        |1         |
|252       |CONTEXT_SWITCH      |28        |0         |
|252       |CONTEXT_SWITCH      |61        |2         |
|252       |CONTEXT_SWITCH      |29        |3         |
|253       |ARRIVAL             |98        |-1        |
|253       |ARRIVAL             |99        |-1        |
|257       |DEPARTURE           |61        |2         |
|257       |DEPARTURE           |29        |3         |
|257       |CONTEXT_SWITCH      |95        |2         |
|257       |CONTEXT_SWITCH      |94        |3         |
|258       |ARRIVAL             |29        |-1        |
|258       |ARRIVAL             |61        |-1        |
|262       |DEPARTURE           |95        |2         |
